# Configuration: 
#          DeviceName:  U6
#          HardwareVersion:  2.00
#          VersionInfo:  4
#          BootloaderVersion:  6.15
#          LocalID:  1
#          SerialNumber:  360012638
#          FirmwareVersion:  1.43
#          ProductID:  6
# Catalyst: Catalyst_Description: Performance test of CaO doped BA catalyst, 1wt% Ru.  Sample was annealed twice
# Catalyst mass: 0.940000 
filename: BAdC_doubann_2017-06-16-01.txt 
current working directory: /home/research/python/diff-react-2017-06-16 
Catalyst_Description: Performance test of CaO doped BA catalyst, 1wt% Ru.  Sample was annealed twice
Notes: double annealed BA doped with CaO, 1wt% Ru

********** Start test **********


Elapsed time, Pressure, | , LJtemp(C), Inner-Temp, Outer-Temp, | , N2-set, N2-flow, H2-set, H2-flow, | , pH, NH3_ppm, NH3_Prod_rate, |, In222Temp
54.6, 12.8, | , 23.3, 7.4, 14.7, | ,  4000,  3885,  1000,   996, | , -3.4, -2422.9, -30.933, |, 9.8
55.6, 13.3, | , 23.3, 2.1, 9.9, | ,  4000,  3880,  1000,  1002, | , -3.4, -2423.7, -30.952, |, 1.9
56.6, 13.6, | , 23.3, 7.6, 14.7, | ,  4000,  3882,  1000,  1023, | , -3.4, -2422.9, -31.083, |, 9.3
57.6, 14.0, | , 23.3, 7.6, 14.9, | ,  4000,  3888,  1000,  1015, | , -3.4, -2422.9, -31.073, |, 9.5
58.6, 14.4, | , 23.3, 8.0, 15.1, | ,  4000,  3886,  1000,   997, | , -3.4, -2422.5, -30.939, |, 9.6
59.6, 14.8, | , 23.3, 7.5, 15.2, | ,  4000,  3884,  1000,  1001, | , -3.4, -2422.9, -30.962, |, 9.3
60.6, 15.2, | , 23.3, 7.7, 14.4, | ,  4000,  3882,  1000,  1008, | , -3.4, -2422.9, -30.988, |, 9.2
61.6, 15.7, | , 23.3, 6.9, 15.0, | ,  4000,  3885,  1000,  1005, | , -3.4, -2422.9, -30.997, |, 6.0
62.6, 16.0, | , 23.3, 7.4, 14.8, | ,  4000,  3884,  1000,  1005, | , -3.4, -2423.3, -30.995, |, 9.1
63.6, 16.6, | , 23.3, 6.6, 13.8, | ,  4000,  3879,  1000,  1009, | , -3.4, -2422.5, -30.979, |, 9.1
64.6, 16.9, | , 23.3, 5.7, 12.8, | ,  4000,  3883,  1000,  1022, | , -3.4, -2422.9, -31.084, |, 7.1
65.7, 17.3, | , 23.3, 8.0, 15.1, | ,  4000,  3884,  1000,  1016, | , -3.4, -2422.5, -31.052, |, 9.3
66.7, 17.7, | , 23.3, 8.2, 15.5, | ,  4000,  3884,  1000,  1023, | , -3.4, -2422.5, -31.097, |, 9.8
67.7, 18.1, | , 23.3, 7.3, 15.0, | ,  4000,  3884,  1000,  1023, | , -3.4, -2422.5, -31.094, |, 9.2
68.7, 18.5, | , 23.3, 4.2, 13.9, | ,  4000,  3884,  1000,  1027, | , -3.4, -2422.5, -31.117, |, 6.5
69.7, 18.9, | , 23.3, 7.7, 14.2, | ,  4000,  3886,  1000,  1006, | , -3.4, -2422.9, -31.006, |, 9.2
70.7, 19.2, | , 23.3, 6.2, 14.8, | ,  4000,  3884,  1000,  1027, | , -3.4, -2422.9, -31.124, |, 7.9
71.7, 19.6, | , 23.3, 7.3, 15.1, | ,  4000,  3888,  1000,  1002, | , -3.4, -2422.9, -30.995, |, 9.3
72.7, 20.0, | , 23.3, 7.5, 14.2, | ,  4000,  3881,  1000,  1012, | , -3.4, -2422.9, -31.016, |, 8.9
73.7, 20.4, | , 23.3, 8.3, 15.5, | ,  4000,  3885,  1000,  1008, | , -3.4, -2422.0, -31.006, |, 9.2
74.7, 20.8, | , 23.3, 7.8, 15.6, | ,  4000,  3886,  1000,  1024, | , -3.4, -2422.5, -31.116, |, 8.5
75.7, 20.9, | , 23.3, 7.7, 15.1, | ,  4000,  3884,  1000,   997, | , -3.4, -2422.5, -30.927, |, 9.2
76.7, 20.9, | , 23.3, 7.4, 15.0, | ,  4000,  3880,  1000,  1004, | , -3.4, -2422.5, -30.948, |, 8.8
77.7, 21.0, | , 23.3, 7.8, 16.0, | ,  4000,  3884,  1000,  1004, | , -3.4, -2422.5, -30.972, |, 9.6
78.8, 21.0, | , 23.4, 6.5, 15.1, | ,  4000,  3883,  1000,   975, | , -3.4, -2422.5, -30.785, |, 8.9
79.8, 21.0, | , 23.4, 7.8, 14.6, | ,  4000,  3882,  1000,   968, | , -3.4, -2422.5, -30.737, |, 9.3
80.8, 21.0, | , 23.3, 8.3, 16.2, | ,  4000,  3877,  1000,   966, | , -3.4, -2422.5, -30.686, |, 10.0
81.8, 21.0, | , 23.4, 7.1, 15.6, | ,  4000,  3876,  1000,   971, | , -3.4, -2422.5, -30.712, |, 9.6
82.8, 20.9, | , 23.4, 7.7, 15.1, | ,  4000,  3874,  1000,   960, | , -3.4, -2422.9, -30.638, |, 8.6
83.8, 21.0, | , 23.4, 7.2, 15.6, | ,  4000,  3876,  1000,   990, | , -3.4, -2422.5, -30.839, |, 8.5
84.8, 21.0, | , 23.4, 8.1, 15.3, | ,  4000,  3874,  1000,   969, | , -3.4, -2422.5, -30.692, |, 9.4
85.8, 21.0, | , 23.4, 8.6, 15.7, | ,  4000,  3871,  1000,   979, | , -3.4, -2423.3, -30.750, |, 10.0
86.8, 21.0, | , 23.4, 7.7, 15.5, | ,  4000,  3875,  1000,   977, | , -3.4, -2422.5, -30.746, |, 9.1
87.8, 21.0, | , 23.4, 7.2, 15.3, | ,  4000,  3872,  1000,   986, | , -3.4, -2422.9, -30.791, |, 9.3
88.8, 21.0, | , 23.4, 8.5, 15.1, | ,  4000,  3868,  1000,   960, | , -3.4, -2423.3, -30.602, |, 9.9
89.8, 21.0, | , 23.4, 8.4, 15.0, | ,  4000,  3874,  1000,   966, | , -3.4, -2422.5, -30.672, |, 9.7
90.8, 20.9, | , 23.4, 7.2, 15.1, | ,  4000,  3877,  1000,   974, | , -3.4, -2422.5, -30.736, |, 9.0
91.9, 20.9, | , 23.4, 7.4, 15.3, | ,  4000,  3878,  1000,   975, | , -3.4, -2422.9, -30.759, |, 9.2
92.9, 21.0, | , 23.4, 8.3, 16.0, | ,  4000,  3874,  1000,   977, | , -3.4, -2422.5, -30.740, |, 9.9
93.9, 20.9, | , 23.4, 7.3, 15.7, | ,  4000,  3878,  1000,   960, | , -3.4, -2422.0, -30.648, |, 9.3
94.9, 21.0, | , 23.4, 7.0, 15.1, | ,  4000,  3877,  1000,   985, | , -3.4, -2422.5, -30.806, |, 9.2
95.9, 20.9, | , 23.4, 6.0, 15.8, | ,  4000,  3877,  1000,   977, | , -3.4, -2422.9, -30.763, |, 9.0
96.9, 21.3, | , 23.4, 8.5, 15.9, | ,  4000,  3879,  1000,   982, | , -3.4, -2422.9, -30.812, |, 10.2
97.9, 21.7, | , 23.4, 7.7, 15.4, | ,  4000,  3876,  1000,   993, | , -3.4, -2422.9, -30.860, |, 9.4
98.9, 22.1, | , 23.4, 7.1, 15.6, | ,  4000,  3882,  1000,  1000, | , -3.4, -2422.9, -30.940, |, 8.8
99.9, 22.6, | , 23.4, 7.3, 15.9, | ,  4000,  3881,  1000,  1005, | , -3.4, -2422.5, -30.957, |, 9.5
100.9, 23.1, | , 23.4, 8.3, 15.6, | ,  4000,  3880,  1000,  1029, | , -3.4, -2422.5, -31.108, |, 9.9
101.9, 23.6, | , 23.4, 2.1, 10.1, | ,  4000,  3888,  1000,  1022, | , -3.4, -2423.7, -31.129, |, 3.5
102.9, 23.8, | , 23.4, 9.0, 15.8, | ,  4000,  3883,  1000,  1024, | , -3.4, -2422.5, -31.094, |, 10.4
104.0, 24.2, | , 23.4, 8.8, 17.6, | ,  4000,  3883,  1000,   858, | , -3.4, -2422.5, -30.040, |, 10.8
105.0, 24.6, | , 23.4, 9.4, 17.4, | ,  4000,  3885,  1000,   573, | , -3.4, -2422.0, -28.250, |, 10.9
106.0, 24.9, | , 23.4, 8.9, 16.8, | ,  4000,  3882,  1000,   568, | , -3.4, -2422.0, -28.193, |, 10.5
107.0, 25.3, | , 23.4, 8.2, 16.6, | ,  4000,  3815,  1000,   788, | , -3.4, -2422.5, -29.168, |, 10.4
108.0, 25.7, | , 23.4, 8.6, 16.4, | ,  4000,  3794,  1000,   866, | , -3.4, -2422.5, -29.526, |, 10.0
109.0, 26.0, | , 23.4, 9.7, 17.6, | ,  4000,  3837,  1000,   920, | , -3.4, -2422.0, -30.142, |, 10.9
110.0, 26.4, | , 23.4, 9.5, 17.5, | ,  4000,  3859,  1000,   937, | , -3.4, -2422.5, -30.392, |, 11.0
111.0, 26.9, | , 23.4, 10.2, 18.0, | ,  4000,  3866,  1000,   991, | , -3.4, -2422.0, -30.774, |, 11.5
112.1, 27.3, | , 23.4, 9.7, 17.5, | ,  4000,  3871,  1000,   990, | , -3.4, -2422.5, -30.800, |, 11.0
113.1, 27.7, | , 23.4, 8.6, 17.0, | ,  4000,  3875,  1000,   985, | , -3.4, -2422.5, -30.796, |, 9.9
114.1, 28.1, | , 23.4, 10.1, 18.1, | ,  4000,  3880,  1000,  1008, | , -3.4, -2422.5, -30.973, |, 11.5
115.1, 28.5, | , 23.4, 9.6, 17.5, | ,  4000,  3883,  1000,  1005, | , -3.4, -2422.5, -30.973, |, 10.9
116.1, 28.9, | , 23.4, 8.8, 17.1, | ,  4000,  3879,  1000,  1001, | , -3.4, -2422.5, -30.922, |, 10.3
117.1, 29.3, | , 23.4, 9.1, 17.7, | ,  4000,  3882,  1000,  1008, | , -3.4, -2422.5, -30.992, |, 10.7
118.1, 29.8, | , 23.4, 9.2, 17.7, | ,  4000,  3884,  1000,  1014, | , -3.4, -2422.0, -31.035, |, 11.0
119.1, 30.1, | , 23.4, 9.3, 17.4, | ,  4000,  3886,  1000,   996, | , -3.4, -2422.5, -30.934, |, 10.8
120.1, 30.4, | , 23.4, 9.6, 17.4, | ,  4000,  3886,  1000,  1016, | , -3.4, -2422.0, -31.062, |, 11.0
121.1, 30.8, | , 23.4, 9.0, 18.0, | ,  4000,  3884,  1000,   997, | , -3.4, -2422.5, -30.934, |, 10.7
122.1, 31.3, | , 23.4, 10.2, 18.3, | ,  4000,  3884,  1000,  1017, | , -3.4, -2422.0, -31.051, |, 11.6
123.2, 31.7, | , 23.4, 8.5, 17.4, | ,  4000,  3883,  1000,  1007, | , -3.4, -2422.0, -30.980, |, 10.0
124.2, 32.0, | , 23.4, 10.1, 18.5, | ,  4000,  3885,  1000,  1008, | , -3.4, -2422.5, -31.003, |, 11.5
125.2, 32.5, | , 23.4, 10.0, 18.6, | ,  4000,  3883,  1000,  1010, | , -3.4, -2422.9, -31.013, |, 11.4
126.2, 32.8, | , 23.4, 9.5, 17.7, | ,  4000,  3883,  1000,  1020, | , -3.4, -2422.5, -31.073, |, 11.0
127.2, 33.2, | , 23.4, 9.3, 17.8, | ,  4000,  3882,  1000,  1020, | , -3.4, -2422.0, -31.061, |, 10.7
128.2, 33.8, | , 23.4, 9.4, 17.7, | ,  4000,  3882,  1000,  1009, | , -3.4, -2422.9, -30.998, |, 10.9
129.2, 34.1, | , 23.5, 10.1, 18.5, | ,  4000,  3880,  1000,  1010, | , -3.4, -2422.5, -30.988, |, 11.6
130.2, 34.4, | , 23.5, 9.4, 18.2, | ,  4000,  3879,  1000,  1006, | , -3.4, -2422.5, -30.955, |, 10.9
131.2, 34.7, | , 23.5, 9.3, 18.1, | ,  4000,  3883,  1000,  1012, | , -3.4, -2422.9, -31.021, |, 10.8
132.2, 35.2, | , 23.5, 10.1, 18.6, | ,  4000,  3884,  1000,  1016, | , -3.4, -2422.5, -31.056, |, 11.4
133.2, 35.6, | , 23.5, 8.6, 17.7, | ,  4000,  3883,  1000,  1007, | , -3.4, -2422.9, -30.991, |, 10.2
134.3, 35.9, | , 23.5, 9.4, 18.2, | ,  4000,  3882,  1000,  1023, | , -3.4, -2422.5, -31.083, |, 10.7
135.3, 36.3, | , 23.5, 9.4, 18.0, | ,  4000,  3885,  1000,   999, | , -3.4, -2422.0, -30.944, |, 10.7
136.3, 36.8, | , 23.5, 10.3, 18.9, | ,  4000,  3882,  1000,  1020, | , -3.4, -2422.5, -31.063, |, 11.4
137.3, 37.2, | , 23.5, 9.9, 18.8, | ,  4000,  3879,  1000,  1010, | , -3.4, -2422.5, -30.982, |, 11.4
138.3, 37.5, | , 23.5, 8.5, 17.9, | ,  4000,  3884,  1000,  1025, | , -3.4, -2422.5, -31.111, |, 9.8
139.3, 37.8, | , 23.5, 9.4, 18.6, | ,  4000,  3884,  1000,  1000, | , -3.4, -2422.5, -30.951, |, 11.5
140.3, 38.3, | , 23.5, 10.1, 19.2, | ,  4000,  3881,  1000,  1005, | , -3.4, -2422.0, -30.958, |, 11.4
141.3, 38.6, | , 23.5, 8.7, 17.6, | ,  4000,  3883,  1000,  1008, | , -3.4, -2422.5, -30.996, |, 10.1
142.3, 38.9, | , 23.5, 9.4, 18.3, | ,  4000,  3884,  1000,  1003, | , -3.4, -2422.0, -30.963, |, 10.9
143.3, 39.4, | , 23.5, 9.3, 18.4, | ,  4000,  3884,  1000,  1009, | , -3.4, -2422.9, -31.014, |, 10.7
144.4, 39.6, | , 23.5, 9.6, 18.7, | ,  4000,  3881,  1000,  1005, | , -3.4, -2422.5, -30.964, |, 10.9
145.4, 39.9, | , 23.5, 9.5, 18.6, | ,  4000,  3884,  1000,  1027, | , -3.4, -2422.0, -31.113, |, 10.9
146.4, 40.3, | , 23.5, 9.3, 18.4, | ,  4000,  3883,  1000,  1001, | , -3.4, -2422.5, -30.950, |, 10.8
147.4, 40.5, | , 23.5, 10.2, 19.1, | ,  4000,  3884,  1000,  1008, | , -3.4, -2422.0, -30.995, |, 11.6
148.4, 40.5, | , 23.5, 8.8, 17.8, | ,  4000,  3879,  1000,  1008, | , -3.4, -2422.5, -30.965, |, 10.0
149.4, 40.4, | , 23.5, 9.5, 18.6, | ,  4000,  3882,  1000,   984, | , -3.4, -2422.5, -30.833, |, 11.1
150.4, 40.4, | , 23.5, 7.7, 19.1, | ,  4000,  3879,  1000,   982, | , -3.4, -2422.0, -30.803, |, 11.5
151.4, 40.9, | , 23.5, 10.1, 19.0, | ,  4000,  3878,  1000,   969, | , -3.4, -2422.0, -30.710, |, 11.4
152.4, 41.1, | , 23.5, 9.4, 18.7, | ,  4000,  3883,  1000,   980, | , -3.4, -2422.5, -30.814, |, 10.8
153.4, 41.7, | , 23.5, 8.4, 17.9, | ,  4000,  3881,  1000,  1008, | , -3.4, -2422.5, -30.981, |, 9.9
154.5, 42.1, | , 23.5, 7.8, 18.8, | ,  4000,  3886,  1000,  1022, | , -3.4, -2422.0, -31.093, |, 11.4
155.5, 42.4, | , 23.5, 9.4, 19.1, | ,  4000,  3883,  1000,  1010, | , -3.4, -2422.5, -31.006, |, 10.7
156.5, 42.8, | , 23.5, 9.4, 18.6, | ,  4000,  3884,  1000,  1009, | , -3.4, -2422.5, -31.009, |, 10.8
157.5, 43.3, | , 23.5, 10.1, 19.4, | ,  4000,  3880,  1000,  1045, | , -3.4, -2422.5, -31.208, |, 11.1
158.5, 43.7, | , 23.5, 8.7, 17.9, | ,  4000,  3883,  1000,  1030, | , -3.4, -2422.5, -31.135, |, 10.1
159.5, 43.9, | , 23.5, 9.2, 18.9, | ,  4000,  3884,  1000,   674, | , -3.4, -2422.5, -28.886, |, 10.6
160.5, 44.2, | , 23.5, 9.3, 19.4, | ,  4000,  3880,  1000,   374, | , -3.4, -2422.0, -26.958, |, 10.9
161.5, 44.7, | , 23.5, 10.0, 19.5, | ,  4000,  3770,  1000,   667, | , -3.4, -2422.0, -28.117, |, 11.1
162.5, 45.1, | , 23.5, 9.9, 19.6, | ,  4000,  3763,  1000,   792, | , -3.4, -2422.0, -28.858, |, 11.3
163.6, 45.4, | , 23.5, 8.5, 18.0, | ,  4000,  3824,  1000,   863, | , -3.4, -2422.5, -29.701, |, 10.2
164.6, 45.9, | , 23.5, 9.9, 19.8, | ,  4000,  3845,  1000,   909, | , -3.4, -2422.5, -30.127, |, 11.3
165.6, 46.2, | , 23.5, 10.0, 20.0, | ,  4000,  3859,  1000,   948, | , -3.4, -2422.0, -30.455, |, 11.3
166.6, 46.5, | , 23.5, 9.4, 19.5, | ,  4000,  3867,  1000,   972, | , -3.4, -2422.5, -30.664, |, 10.8
167.6, 46.9, | , 23.5, 9.3, 19.3, | ,  4000,  3878,  1000,   994, | , -3.4, -2422.5, -30.876, |, 10.8
168.6, 47.5, | , 23.5, 9.2, 14.7, | ,  4000,  3883,  1000,   982, | , -3.4, -2422.5, -30.828, |, 6.8
169.6, 47.7, | , 23.5, 9.4, 19.5, | ,  4000,  3875,  1000,   995, | , -3.4, -2422.5, -30.863, |, 10.7
170.6, 48.2, | , 23.5, 8.7, 18.7, | ,  4000,  3883,  1000,  1003, | , -3.4, -2422.5, -30.961, |, 10.3
171.6, 48.5, | , 23.5, 9.1, 19.7, | ,  4000,  3881,  1000,   997, | , -3.4, -2422.0, -30.910, |, 10.9
172.6, 48.9, | , 23.5, 10.0, 20.0, | ,  4000,  3886,  1000,  1000, | , -3.4, -2422.0, -30.953, |, 11.3
173.7, 49.3, | , 23.5, 8.2, 18.9, | ,  4000,  3881,  1000,   993, | , -3.4, -2422.5, -30.889, |, 10.0
174.7, 49.6, | , 23.5, 9.3, 19.6, | ,  4000,  3880,  1000,  1006, | , -3.4, -2422.5, -30.963, |, 10.9
175.7, 50.1, | , 23.5, 9.9, 20.1, | ,  4000,  3879,  1000,  1016, | , -3.4, -2422.5, -31.024, |, 11.4
176.7, 50.5, | , 23.5, 9.9, 20.2, | ,  4000,  3884,  1000,  1001, | , -3.4, -2422.0, -30.951, |, 11.4
177.7, 50.7, | , 23.5, 9.4, 19.6, | ,  4000,  3883,  1000,  1015, | , -3.4, -2422.9, -31.041, |, 10.7
178.7, 51.4, | , 23.5, 9.2, 19.4, | ,  4000,  3883,  1000,  1012, | , -3.4, -2422.5, -31.020, |, 10.8
179.7, 51.7, | , 23.5, 9.9, 20.4, | ,  4000,  3882,  1000,  1019, | , -3.4, -2422.0, -31.049, |, 11.3
180.7, 52.1, | , 23.5, 9.3, 20.0, | ,  4000,  3885,  1000,  1004, | , -3.4, -2422.0, -30.974, |, 10.8
181.7, 52.3, | , 23.5, 9.4, 19.9, | ,  4000,  3883,  1000,   997, | , -3.4, -2422.5, -30.923, |, 10.8
182.7, 52.8, | , 23.5, 9.8, 20.7, | ,  4000,  3885,  1000,  1009, | , -3.4, -2422.0, -31.011, |, 11.3
183.8, 53.3, | , 23.5, 9.3, 19.8, | ,  4000,  3880,  1000,  1021, | , -3.4, -2422.0, -31.050, |, 10.7
184.8, 53.4, | , 23.5, 9.2, 20.2, | ,  4000,  3884,  1000,  1009, | , -3.4, -2422.5, -31.011, |, 10.7
185.8, 53.8, | , 23.6, 9.4, 21.1, | ,  4000,  3882,  1000,  1021, | , -3.4, -2422.0, -31.064, |, 11.4
186.8, 54.3, | , 23.6, 10.0, 20.6, | ,  4000,  3883,  1000,  1005, | , -3.4, -2422.0, -30.969, |, 11.5
187.8, 54.6, | , 23.6, 10.3, 20.9, | ,  4000,  3885,  1000,   997, | , -3.4, -2422.0, -30.927, |, 11.3
188.8, 55.0, | , 23.6, 8.5, 19.7, | ,  4000,  3883,  1000,  1001, | , -3.4, -2422.5, -30.944, |, 10.1
189.8, 55.4, | , 23.6, 10.0, 20.6, | ,  4000,  3885,  1000,  1023, | , -3.4, -2422.5, -31.102, |, 11.4
